,caption,video_id,sen_id
77300,a car is shown,video0,77300
110460,in a kitchen a woman adds different ingredients into the pot and stirs it,video1,110460
47320,a man holds two dogs,video10,47320
18360,a basset hound sits outside a door,video100,18360
49000,a woman is wearing a costume,video1000,49000
20320,a band performs live while their fans cheer,video1001,20320
17180,a baseball pitcher practicing his pitches,video1002,17180
78500,a cartoon about maya,video1003,78500
88920,a clip showing a man giving instructions on how to fold a piece of paper,video1004,88920
43900,a man is hailing a cab,video1005,43900
36040,a game is played,video1006,36040
51260,a man is wrestling,video1007,51260
45900,a man has a cup of onions,video1008,45900
80740,a crowd is standing in a line a woman is talking to a crowd,video1009,80740
61420,a character from star trek the next generation is featured in film clips,video101,61420
130800,in studio aa virtual studio a  woman shows two different locations that have been shot there,video1010,130800
70540,a car driving down a road goes from black and white video to colored video,video1011,70540
107160,a blonde woman in a white lab coat is followed by red and black clips attached to silver pins,video1012,107160
44680,a man is singing in multiple shots,video1013,44680
36020,a game of golf,video1014,36020
8720,a boy driving while the passenger is talking,video1015,8720
94660,a clip telling how to start a fire,video1016,94660
27100,a group is dancing,video1017,27100
55180,a guy solving a math problem,video1018,55180
95300,a commentator is talking about someone being anti gun,video1019,95300
104720,some one showing the video of different colours of helmet,video102,104720
54700,a guy talks about the furniture in his room like someone cares,video1020,54700
71340,a car is being presented and talked about,video1021,71340
122860,a map is shown then a man starts talking about president obama,video1022,122860
100400,some kind of food is filled in a bowl placed in a table,video1023,100400
34680,a group of people s reactions while they watch clips of various sport videos,video1024,34680
102540,there is a dog is walking on the floor,video1025,102540
132180,rush limbaugh talks about fighting isis who appear in pictures carrying heavy artillery,video1026,132180
112100,a series of various mountain scenes are shown from the roadways,video1027,112100
41860,a gamer is making upgrades on a game,video1028,41860
12780,a boy and a man are sitting and talking,video1029,12780
135920,in a kitchen a woman in purple and black talks about her favorite dish,video103,135920
50640,a man talks about football scores,video1030,50640
132140,there is a blue car is moving on the road,video1031,132140
85780,a description of an owl and danger,video1032,85780
84300,a famous actress is interviewed on a talk show,video1033,84300
26620,a group conference of men is shown where angela merkel gets touched on her shoulders,video1034,26620
105880,a man uses a brush to baste his roast that he is rotating and grilling,video1035,105880
85020,a fat amateur is commenting on the looks of female fighters,video1036,85020
4080,a baby stroller is being displayed,video1037,4080
114960,a msnbc clip talking to donald trump about the primaries,video1038,114960
85520,a demonstration of how to seal a roof,video1039,85520
67320,a clip from a huge concert,video104,67320
87360,a clip of jimmy kimmel,video1040,87360
69280,a child sitting outside next to a pool,video1041,69280
127880,its a animated video showing two persons in a home,video1042,127880
34060,a group of white puppies while a man talks to them on a television set,video1043,34060
76640,a carton character flying above the seashore,video1044,76640
1700,a 1980 s music video,video1045,1700
113520,a man is talking about a cell phone he is talking about how to dim the lights,video1046,113520
122600,the woman in the white dress standing in the paper products shop,video1047,122600
124600,a woman wearing some different kind of dress doing some action,video1048,124600
32640,a group of people dance bachata indoors and outdoors,video1049,32640
108160,on a television show a man describes what canine injuries he sees in his animal hospital and how to prevent these injuries,video105,108160
133640,there is a mature woman is talking in a room,video1050,133640
112740,a male model in black leather lounges and poses in a chair,video1051,112740
2280,3d animated ninja shows his moves,video1052,2280
43120,a girl does gymnastics on a bar,video1053,43120
23200, sleek looking car with cool looking headlight,video1054,23200
113840,on a stage a young woman in a blinking dress,video1055,113840
61620,a celebratie is saying something in another language,video1056,61620
15000,a boy is playing a drum set,video1057,15000
138100,a man looks at his laptop and brings up various screens,video1058,138100
12500,a boy and a girl play in ocean water on small surfboards,video1059,12500
300,7 kids on a back deck at a party singing about something,video106,300
77500,a car storage space is opened,video1060,77500
50060,a man is talking about a car,video1061,50060
36980,a gamer discusses in-game outfits,video1062,36980
110960,a man in a white shirt stands near a wide staircase as a model bicycle rides down on a string,video1063,110960
51300,a minecraft demonstration video,video1064,51300
94460,a clip taken from fox news showing a woman hang gliding into a pool,video1065,94460
22200,a black and white slide show,video1066,22200
44140,a man is folding a piece of paper into an aeroplane,video1067,44140
63440,a cartoon of girls talking about fashion,video1068,63440
37760,a female providing a nail art demonstration,video1069,37760
80020,a crowded street full of motorcycles a man tells about how you can get a guide,video107,80020
86140,a dashboard with all the gauges,video1070,86140
79880,a couple of people shooting a basketball,video1071,79880
11460,a bollywood star is posing with other people,video1072,11460
35200,a funny clip of ellen tv show,video1073,35200
