,VideoID,Start,End,WorkerID,Source,AnnotationTime,Language,Description
33895,-4wsuPCjDBc,5,15,682611,clean,102,English,A squirrel is eating a peanut in it's shell.
6434,-7KMZQEsJW4,205,208,550906,clean,34,English,A man demonstrating how to clean a flower.
17696,-8y1Q0rA3n8,95,102,682611,clean,79,English,A man with a sword runs ands stabs a cardboard target.
35984,-9CUm-2cui8,39,44,682611,clean,70,English,A woman puts four okra in a pan of boiling water.
18020,-AwoiGR6c8M,10,14,280252,clean,31,English,A boy is playing a key-board.
20215,-Cv5LsqKUXc,17,25,649657,unverified,47,English,A man is slicing strawberry
7009,-DKuLXYoY3g,14,20,649657,unverified,55,English,A boy is playing
22345,-DRy7rBg0IQ,31,37,550906,clean,21,English,a girl swimming under water
8059,-FugkxLmGO4,5,16,550906,clean,52,English,A husky and her pup stare happily out of a cage.
39420,-Ms9tsWmhyU,80,95,215924,clean,29,English,A flute is played.
33593,-YI0cxuNcq8,262,272,550906,clean,251,English,A woman demonstrating abdominal exercises.
23194,-_aaMGK6GGw,57,61,760882,clean,21,English,A man grabs a boy.
378,-_hbPLsZvvo,323,328,651813,clean,9,English,A man is arranging sushi.
24305,-bjOB4zS0uE,100,105,550906,clean,52,English,A woman is stirring a substance in a wine glass.
26391,-dm-ds5rRaM,44,52,550906,clean,777,English,Ussain Bolt winning a race.
24924,-joBOHlg5J0,72,80,550906,clean,25,English,A woman powders her face.
32875,-mAoVOhKy0c,4,9,682611,clean,112,English,A yellow train is driving on an track on a bridge.
33515,-pUwIypksfE,13,23,682611,clean,99,English,A panda climbs up a three-tiered cake and another panda is sitting and looking at the cake.
13404,-rkErLY0rRc,26,35,682611,clean,73,English,A woman is pruning flowers on a bush.
2874,-rvjK0lE3z4,33,43,682611,clean,76,English,Someone cuts a potato into cube-size pieces with a knife.
36851,-s4-6QTT7HE,235,241,682611,clean,100,English,A man is dancing among a group of women dancers in costumes.
11100,-t-ZWaJeH-o,0,15,550906,clean,42,English,Two women singing in a recording studio.
11200,-uT_1VDvXok,8,15,682611,clean,58,English,A baby rhino is walking behind an adult rhino.
3396,-vKO3uSG6Do,3,14,682611,clean,69,English,Three animated women are synchronized dancing.
